"domain_1"	"domain_2"	"slot_1"	"slot_2"	"value"
"Flights_1"	"Hotels_3"	"passengers"	"location"	"n"
"Flights_1"	"Hotels_3"	"passengers"	"number_of_rooms"	"n"
"Flights_1"	"Hotels_3"	"passengers"	"check_in_date"	"n"
"Flights_1"	"Hotels_3"	"passengers"	"check_out_date"	"n"
"Flights_1"	"Hotels_3"	"passengers"	"average_rating"	"n"
"Flights_1"	"Hotels_3"	"passengers"	"hotel_name"	"n"
"Flights_1"	"Hotels_3"	"passengers"	"street_address"	"n"
"Flights_1"	"Hotels_3"	"passengers"	"phone_number"	"n"
"Flights_1"	"Hotels_3"	"passengers"	"price"	"n"
"Flights_1"	"Hotels_3"	"passengers"	"pets_welcome"	"n"
"Flights_1"	"Hotels_3"	"seating_class"	"location"	"n"
"Flights_1"	"Hotels_3"	"seating_class"	"number_of_rooms"	"n"
"Flights_1"	"Hotels_3"	"seating_class"	"check_in_date"	"n"
"Flights_1"	"Hotels_3"	"seating_class"	"check_out_date"	"n"
"Flights_1"	"Hotels_3"	"seating_class"	"average_rating"	"n"
"Flights_1"	"Hotels_3"	"seating_class"	"hotel_name"	"n"
"Flights_1"	"Hotels_3"	"seating_class"	"street_address"	"n"
"Flights_1"	"Hotels_3"	"seating_class"	"phone_number"	"n"
"Flights_1"	"Hotels_3"	"seating_class"	"price"	"n"
"Flights_1"	"Hotels_3"	"seating_class"	"pets_welcome"	"n"
"Flights_1"	"Hotels_3"	"origin_city"	"location"	"n"
"Flights_1"	"Hotels_3"	"origin_city"	"number_of_rooms"	"n"
"Flights_1"	"Hotels_3"	"origin_city"	"check_in_date"	"n"
"Flights_1"	"Hotels_3"	"origin_city"	"check_out_date"	"n"
"Flights_1"	"Hotels_3"	"origin_city"	"average_rating"	"n"
"Flights_1"	"Hotels_3"	"origin_city"	"hotel_name"	"n"
"Flights_1"	"Hotels_3"	"origin_city"	"street_address"	"n"
"Flights_1"	"Hotels_3"	"origin_city"	"phone_number"	"n"
"Flights_1"	"Hotels_3"	"origin_city"	"price"	"n"
"Flights_1"	"Hotels_3"	"origin_city"	"pets_welcome"	"n"
"Flights_1"	"Hotels_3"	"destination_city"	"location"	"y"
"Flights_1"	"Hotels_3"	"destination_city"	"number_of_rooms"	"n"
"Flights_1"	"Hotels_3"	"destination_city"	"check_in_date"	"n"
"Flights_1"	"Hotels_3"	"destination_city"	"check_out_date"	"n"
"Flights_1"	"Hotels_3"	"destination_city"	"average_rating"	"n"
"Flights_1"	"Hotels_3"	"destination_city"	"hotel_name"	"n"
"Flights_1"	"Hotels_3"	"destination_city"	"street_address"	"n"
"Flights_1"	"Hotels_3"	"destination_city"	"phone_number"	"n"
"Flights_1"	"Hotels_3"	"destination_city"	"price"	"n"
"Flights_1"	"Hotels_3"	"destination_city"	"pets_welcome"	"n"
"Flights_1"	"Hotels_3"	"origin_airport"	"location"	"n"
"Flights_1"	"Hotels_3"	"origin_airport"	"number_of_rooms"	"n"
"Flights_1"	"Hotels_3"	"origin_airport"	"check_in_date"	"n"
"Flights_1"	"Hotels_3"	"origin_airport"	"check_out_date"	"n"
